Date,Open,High,Low,Close,Adj Close,Volume
2021-08-22,48869.10547,49471.60938,48199.94141,49321.65234,49321.65234,25370975378
2021-08-23,49291.67578,50482.07813,49074.60547,49546.14844,49546.14844,34305053719
2021-08-24,49562.34766,49878.76953,47687.11719,47706.11719,47706.11719,35361168834
2021-08-25,47727.25781,49202.87891,47163.61328,48960.78906,48960.78906,32646349931
2021-08-26,49002.64063,49347.58203,46405.78125,46942.21875,46942.21875,32666549568
2021-08-27,46894.55469,49112.78516,46394.28125,49058.66797,49058.66797,34511076995
2021-08-28,49072.58594,49283.50391,48499.23828,48902.40234,48902.40234,28568103401
2021-08-29,48911.25,49644.11328,47925.85547,48829.83203,48829.83203,25889650240
2021-08-30,48834.85156,48925.60547,46950.27344,47054.98438,47054.98438,31847007016
2021-08-31,47024.33984,48189.55078,46750.09375,47166.6875,47166.6875,34730363427
2021-09-01,47099.77344,49111.08984,46562.4375,48847.02734,48847.02734,39139399125
2021-09-02,48807.84766,50343.42188,48652.32031,49327.72266,49327.72266,39508070319
2021-09-03,49288.25,50982.27344,48386.08594,50025.375,50025.375,43206179619
2021-09-04,50009.32422,50545.58203,49548.78125,49944.625,49944.625,37471327794
2021-09-05,49937.85938,51868.67969,49538.59766,51753.41016,51753.41016,30322676319
2021-09-06,51769.00391,52700.94141,51053.67969,52633.53516,52633.53516,38884105426
2021-09-07,52660.48047,52853.76563,43285.20703,46811.12891,46811.12891,65210059683
2021-09-08,46827.76172,47334.05469,44561.39453,46091.39063,46091.39063,49007762488
2021-09-09,45774.74219,47261.94922,45669.73828,46391.42188,46391.42188,38672657013
2021-09-10,46396.66406,47031.74219,44344.48438,44883.91016,44883.91016,39154666597
2021-09-11,44869.83984,45969.29297,44818.26563,45201.45703,45201.45703,34499835245
2021-09-12,45206.62891,46364.87891,44790.46094,46063.26953,46063.26953,27881980161
2021-09-13,46057.21484,46598.67969,43591.32031,44963.07422,44963.07422,40969943253
2021-09-14,44960.05078,47218.125,44752.33203,47092.49219,47092.49219,38652152880
2021-09-15,47098,48450.46875,46773.32813,48176.34766,48176.34766,30484496466
2021-09-16,48158.90625,48486.82813,47079.55859,47783.35938,47783.35938,31764293754
2021-09-17,47771.00391,48160.92188,46832.52344,47267.51953,47267.51953,28727713711
2021-09-18,47273.52734,48791.78125,47087.28516,48278.36328,48278.36328,28575630451
2021-09-19,48268.85547,48328.36719,46919.80469,47260.21875,47260.21875,26967722648
2021-09-20,47261.40625,47328.19922,42598.91406,42843.80078,42843.80078,43909845642
2021-09-21,42946.80078,43546.99609,40542.24609,40857.36328,40857.36328,44866961408
