Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
2019-08-21,10764.57227,10798.72949,9962.72168,10138.04981,10138.04981,19473084768.0,18179,182817850000.0,0.10651632123381118
2019-08-22,10142.52148,10232.99609,9831.462891,10131.05566,10131.05566,17097508856.0,17858,179956650000.0,0.09500904382626142
2019-08-23,10136.30957,10442.44336,10078.19238,10407.96484,10407.96484,15627023886.0,17668,183682550000.0,0.08507625836343452
2019-08-24,10407.64453,10418.02051,9982.296875,10159.96094,10159.96094,15451030650.0,14618,181747910000.0,0.0850135265287993
2019-08-25,10160.73731,10304.62207,10008.78906,10138.51758,10138.51758,14153856610.0,14278,180824460000.0,0.07827401684437417
2019-08-26,10126.29981,10512.32813,10126.29981,10370.82031,10370.82031,18438654080.0,16826,185240700000.0,0.09953889286470824
2019-08-27,10372.82617,10381.32813,10087.30078,10185.5,10185.5,14762609503.0,20448,182417800000.0,0.08092746105145554
2019-08-28,10203.42676,10279.36621,9716.65625,9754.422852,9754.422852,17603790323.0,19033,180551880000.0,0.0974999022647655
2019-08-29,9756.786133,9756.786133,9421.629883,9510.200195,9510.200195,17045878501.0,17137,170685200000.0,0.09986734794887084
2019-08-30,9514.844727,9656.124023,9428.302734,9598.173828,9598.173828,13595263986.0,16339,171107190000.0,0.07945466281358891
2019-08-31,9597.539063,9673.220703,9531.799805,9630.664063,9630.664063,11454806419.0,13453,172070440000.0,0.06657045003060916
2019-09-01,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859.0,14620,172587380000.0,0.06631629461296454
2019-09-02,9757.473633,10396.5918,9730.650391,10346.76074,10346.76074,17248102294.0,17337,177946150000.0,0.09692877538576186
2019-09-03,10345.72559,10736.10449,10308.54785,10623.54004,10623.54004,19384917989.0,20903,188404500000.0,0.10288988930907354
2019-09-04,10621.18066,10762.64453,10434.70996,10594.49316,10594.49316,16742664769.0,18177,189304100000.0,0.0884432256669572
2019-09-05,10588.18359,10627.26953,10516.41797,10575.5332,10575.5332,14551239508.0,16187,189476060000.0,0.07679724508242393
2019-09-06,10578.19824,10898.76172,10292.29981,10353.30273,10353.30273,19536574783.0,18376,190929390000.0,0.10232356075071748
2019-09-07,10353.93164,10558.67383,10348.91895,10517.25488,10517.25488,15307366476.0,14526,186851480000.0,0.08192264170589648
2019-09-08,10518.11426,10595.6377,10409.09082,10441.27637,10441.27637,13670567493.0,14593,187618180000.0,0.07286376731398088
2019-09-09,10443.22852,10450.31152,10144.92969,10334.97461,10334.97461,17595943368.0,17004,184983080000.0,0.09512190880540158
2019-09-10,10336.4082,10394.35352,10020.57324,10115.97559,10115.97559,14906809639.0,18300,183631660000.0,0.08117777576877731
2019-09-11,10123.03516,10215.94824,9980.776367,10178.37207,10178.37207,15428063426.0,17080,180766080000.0,0.08534822096381922
2019-09-12,10176.81934,10442.25391,10099.24219,10410.12695,10410.12695,15323563925.0,16904,183570060000.0,0.08347529182238438
2019-09-13,10415.36231,10441.48926,10226.59668,10360.54688,10360.54688,14109864675.0,15885,185217450000.0,0.07617999641080729
2019-09-14,10345.40332,10422.13379,10291.69434,10358.04883,10358.04883,13468713124.0,13360,185660640000.0,0.07254479639995934
2019-09-15,10356.46582,10387.03516,10313.09277,10347.71289,10347.71289,12043433567.0,13380,185366410000.0,0.06497095861011812
